ID,Journal,Year,Authors,Title,Link,Minority_type,Minority_type_2,Abstract,Database_1,Database_2
12,AJPS,2015,Benjamin J. Newman,Breaking the Glass Ceiling: Local Gender‐Based Earnings Inequality and Women's Belief in the American Dream,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12195,Gender,NA,"This article ties together research on gender, income inequality, and political ideology, by exploring the effect of gender‐based earnings inequality on women's belief in a fundamental tenet of the “American Dream”—meritocracy. Focusing on gender‐based earnings inequality in women's local residential context, and drawing upon relative deprivation theory, this article argues that variation across local areas in the relative economic status of women should influence the ideological outlook of resident women. In contrast to relative deprivation theory, but consistent with rising expectations theory, I argue that ideological disillusionment should peak in contexts in which women's earnings fall closely behind men, and that ideological optimism should rebound in contexts in which women's earnings have achieved parity with that of men. Utilizing pooled survey data, I find strong evidence that individual women's belief in the American Dream varies according to whether local women's relative earnings indicate confrontation with or breaking of the “glass ceiling.”",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RPD7KA,NA
16,AJPS,2020,Varun Karekurve‐Ramachandra  Alexander Lee,Do Gender Quotas Hurt Less Privileged Groups? Evidence from India,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12511,Gender,NA,"How do political gender quotas affect representation? We suggest that when gender attitudes are correlated with ethnicity, promoting female politicians may reduce the descriptive representation of traditionally disadvantaged ethnic groups. To assess this idea, we examine the consequences of the implementation of random electoral quotas for women on the representation of caste groups in Delhi. Constituencies reserved for women are less likely than unreserved constituencies to elect members of groups where the status of women is low. In practice, this means they are less likely to elect members of several traditionally underprivileged groups (especially OBC castes) and more likely to elect candidates from the Hindu upper castes. The results highlight the difficulties of balancing descriptive representation on multiple, crosscutting dimensions, and the possible unintended consequences of the type of single‐dimension quotas currently proposed for inclusion in the Indian constitution.",Request to authors,NA
17,AJPS,2017,Richard A. Nielsen,Women's Authority in Patriarchal Social Movements: The Case of Female Salafi Preachers,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12297,Gender,NA,"How do women gain authority in the public sphere, especially in contexts where patriarchal norms are prevalent? I argue that the leaders of patriarchal social movements face pragmatic incentives to expand women's authority roles when seeking new movement members. Women authorities help patriarchal movements by making persuasive, identity‐based arguments in favor of patriarchy that men cannot, and by reaching new audiences that men cannot. I support this argument by examining the rise of online female preachers in the Islamist Salafi movement, using interviews, Twitter analysis, and automated text analysis of 21,000 texts by 172 men and 43 women on the Salafi‐oriented website saaid.net. To show the theory's generality, I also apply it to the contemporary white nationalist movement in the United States. The findings illustrate how movements that aggressively enforce traditional gender roles for participants can nevertheless increase female authority for pragmatic political reasons.",Request to authors,NA
21,AJPS,2017,Christopher F. Karpowitz  J. Quin Monson  Jessica Robinson Preece,How to Elect More Women: Gender and Candidate Success in a Field Experiment,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12300,Gender,NA,"Women are dramatically underrepresented in legislative bodies, and most scholars agree that the greatest limiting factor is the lack of female candidates (supply). However, voters’ subconscious biases (demand) may also play a role, particularly among conservatives. We designed an original field experiment to test whether messages from party leaders can affect women's electoral success. The experimental treatments involved messages from a state Republican Party chair to the leaders of 1,842 precinct‐level caucus meetings. We find that party leaders’ efforts to stoke both supply and demand (and especially both together) increase the number of women elected as delegates to the statewide nominating convention. We replicate this finding in a survey experiment with a national sample of validated Republican primary election voters (N = 2,897). Our results suggest that simple interventions from party leaders can affect the behavior of candidates and voters and ultimately lead to a substantial increase in women's descriptive representation.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UQAIZI,NA
24,BJPS,2016,Eelco Harteveld and Elisabeth Ivarsflaten,Why Women Avoid the Radical Right: Internalized Norms and Party Reputations,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/why-women-avoid-the-radical-right-internalized-norms-and-party-reputations/21999440F5879E6B9A20FED6C177F300,Gender,NA,"Radical Right Parties (RRPs) consistently attract more male than female voters. Puzzlingly, there is no equally consistent gender difference in policy preferences on the main issues of these parties – immigration and minority integration policies. Indeed, in some countries, for instance the UK, women have as restrictive immigration policy preferences as men, but are still less likely to vote for RRPs. This article proposes a novel answer to this gender gap puzzle that emphasizes the normative conflicts about prejudice and discrimination that surround RRPs across Europe. It uses representative survey data to show, for the first time, that women are more likely than men to be motivated to control prejudice, and that this difference in motivations has political consequences. More specifically, the study demonstrates that the higher prevalence of internal motivation to control prejudice among women accounts for the gender gap in voting for RRPs that become trapped in conflicts over discrimination and prejudice. Voting patterns for RPPs that have been able to defuse normative concerns about prejudice, such as the Progress Party currently in government in Norway, are different.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JDNTRA,NA
35,APSR,2018,"DAWN LANGAN TEELE, JOSHUA KALLA and FRANCES ROSENBLUTH",The Ties That Double Bind: Social Roles and Women's Underrepresentation in Politics,https://www.cambridge.org/core/journals/american-political-science-review/article/ties-that-double-bind-social-roles-and-womens-underrepresentation-in-politics/617A9986FF59B8934BC300DA21984121,Gender,NA,"This paper theorizes three forms of bias that might limit women's representation: outright hostility, double standards, and a double bind whereby desired traits present bigger burdens for women than men. We examine these forms of bias using conjoint experiments derived from several original surveys—a population survey of American voters and two rounds of surveys of American public officials. We find no evidence of outright discrimination or of double standards. All else equal, most groups of respondents prefer female candidates, and evaluate men and women with identical profiles similarly. But on closer inspection, all is not equal. Across the board, elites and voters prefer candidates with traditional household profiles such as being married and having children, resulting in a double bind for many women. So long as social expectations about women's familial commitments cut against the demands of a full-time political career, women are likely to remain underrepresented in politics.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FVCGHC,NA
41,QJE,2019,"David Card, Stefano DellaVigna, Patricia Funk, Nagore Iriberri",Are Referees and Editors in Economics Gender Neutral?,https://academic.oup.com/qje/article-abstract/135/1/269/5614978?redirectedFrom=fulltext,Gender,NA,"We study the role of gender in the evaluation of economic research using submissions to four leading journals. We find that referee gender has no effect on the relative assessment of female- versus male-authored papers, suggesting that any differential biases of male referees are negligible. To determine whether referees as a whole impose different standards for female authors, we compare citations for female- and male-authored papers, holding constant referee evaluations and other characteristics. We find that female-authored papers receive about 25% more citations than observably similar male-authored papers. Editors largely follow the referees, resulting in a 1.7 percentage point lower probability of a revise and resubmit verdict for papers with female authors relative to a citation-maximizing benchmark. In their desk rejection decisions, editors treat female authors more favorably, though they still impose a higher bar than would be implied by citation maximization. We find no differences in the informativeness of female versus male referees or in the weight that editors place on the recommendations of female versus male referees. We also find no differences in editorial delays for female- versus male-authored papers.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LYMVHH,NA
42,QJE,2019,Michela Carlana,Implicit Stereotypes: Evidence from Teachers’ Gender Bias,https://academic.oup.com/qje/article/134/3/1163/5368349?searchresult=1,Gender,NA,"I study whether exposure to teacher stereotypes, as measured by the Gender-Science Implicit Association Test, affects student achievement. I provide evidence that the gender gap in math performance, defined as the score of boys minus the score of girls in standardized tests, substantially increases when students are assigned to math teachers with stronger gender stereotypes. Teacher stereotypes induce girls to underperform in math and self-select into less demanding high schools, following the track recommendation of their teachers. These effects are at least partially driven by lower self-confidence on math ability of girls exposed to gender-biased teachers. Stereotypes impair the test performance of girls, who end up failing to achieve their full potential. I do not detect statistically significant effects on student outcomes of literature teacher stereotypes.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OVWRFS,NA
44,QJE,2020,"Lisa Cameron, Jennifer Seager, Manisha Shah",Crimes Against Morality: Unintended Consequences of Criminalizing Sex Work,https://academic.oup.com/qje/advance-article-abstract/doi/10.1093/qje/qjaa032/5912394?redirectedFrom=fulltext,Gender,NA,"We examine the impact of criminalizing sex work, exploiting an event in which local officials unexpectedly criminalized sex work in one district in East Java, Indonesia, but not in neighboring districts. We collect data from female sex workers and their clients before and after the change. We find that criminalization increases sexually transmitted infections among female sex workers by 58 percent, measured by biological tests. This is driven by decreased condom access and use. We also find evidence that criminalization decreases earnings among women who left sex work due to criminalization, and decreases their ability to meet their children’s school expenses while increasing the likelihood that children begin working to supplement household income. While criminalization has the potential to improve population STI outcomes if the market shrinks permanently, we show that five years postcriminalization the market has rebounded and the probability of STI transmission within the general population is likely to have increased.",Request to authors,Sensitive Data
46,QJE,2017,"Matthew Wiswall, Basit Zafar","Preference for the Workplace, Investment in Human Capital, and Gender",https://academic.oup.com/qje/article-abstract/133/1/457/4095201?redirectedFrom=fulltext,Gender,NA,"We use a hypothetical choice methodology to estimate preferences for workplace attributes from a sample of high-ability undergraduates attending a highly selective university. We estimate that women on average have a higher willingness to pay (WTP) for jobs with greater work flexibility and job stability, and men have a higher WTP for jobs with higher earnings growth. These job preferences relate to college major choices and to actual job choices reported in a follow-up survey four years after graduation. The gender differences in preferences explain at least a quarter of the early career gender wage gap.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MLOGDL,NA
49,RES,2018,"Amalia R Miller, Carmit Segal",Do Female Officers Improve Law Enforcement Quality? Effects on Crime Reporting and Domestic Violence,https://academic.oup.com/restud/article-abstract/86/5/2220/5101317?redirectedFrom=fulltext,Gender,NA,"We study the impact of the integration of women in U.S. policing between the late 1970s and early 1990s on violent crime reporting and domestic violence (DV). Along these two key dimensions, we find that female officers improved police quality. Crime victimization data reveal that as female representation increases among officers in an area, violent crimes against women in that area, and especially DV, are reported to the police at significantly higher rates. There are no such effects for violent crimes against men or from increases in the female share of civilian police employees. Furthermore, increases in female officer shares are followed by significant declines in rates of intimate partner homicide and non-fatal domestic abuse. These effects are all consistent between fixed effects models with controls for economic and policy variables and models that focus exclusively on increases in female police employment driven by externally imposed affirmative action plans following litigation for employment discrimination.",Request to authors,NA
50,RES,2018,"Marianne Bertrand, Sandra E Black, Sissel Jensen, Adriana Lleras-Muney",Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labour Market Outcomes in Norway,https://academic.oup.com/restud/article-abstract/86/1/191/5042274?redirectedFrom=fulltext,Gender,NA,"In late 2003, Norway passed a law mandating 40% representation of each gender on the board of public limited liability companies. The primary objective of this reform was to increase the representation of women in top positions in the corporate sector and decrease the gender disparity in earnings within that sector. We document that the women appointed to these boards post-reform were observably more qualified than their female predecessors along many dimensions, and that the gender gap in earnings within boards fell substantially. However, we see no robust evidence that the reform benefited the larger set of women employed in the companies subject to the quota. Moreover, the reform had no clear impact on highly qualified women whose qualifications mirror those of board members but who were not appointed to boards. Finally, we find mixed support for the view that the reform affected the decisions of young women. While the reform was not accompanied by any change in female enrollment in business education programmes, we do see some improvements in labour market outcomes for young women with graduate business degrees in their early career stages; however, we observe similar improvements for young women with graduate science degrees, suggesting this may not be due to the reform. Overall, seven years after the board quota policy fully came into effect, we conclude that it had very little discernible impact on women in business beyond its direct effect on the women who made it into boardrooms.",Request to authors,NA
56,JPE,2018,"VictorLavy, Edith Sand",On the origins of gender gaps in human capital: Short- and long-term consequences of teachers' biases,https://www.sciencedirect.com/science/article/abs/pii/S0047272718301750,Gender,NA,"We estimate the effect of primary school teachers' gender biases on boys' and girls' academic achievements during middle and high school and on the choice of advanced level courses in math and sciences during high school in Tel-Aviv, Israel. We measure bias using class-gender differences in scores between school exams graded by teachers and national exams graded blindly by external examiners. For identification, we rely on the random assignment of teachers and students to classes in primary schools. Our results suggest that assignment to a teacher with a greater bias in favor of girls (boys) has positive effects on girls' (boys') achievements. Such gender biases have also positive impact on girls' (boys') enrollment in advanced level math courses in high school. These results suggest that teachers' biased behavior at early stages of schooling has long run implications for occupational choices and earnings at adulthood, because enrollment in advanced courses in math and science in high school is a prerequisite for post-secondary schooling in engineering, computer science and so on.",Request to authors,NA
57,JPE,2017,Anne Boring,Gender biases in student evaluations of teaching,https://www.sciencedirect.com/science/article/abs/pii/S0047272716301591,Gender,NA,"This article uses data from a French university to analyze gender biases in student evaluations of teaching (SETs). The results of fixed effects and generalized ordered logit regression analyses show that male students express a bias in favor of male professors. Also, the different teaching dimensions that students value in male and female professors tend to match gender stereotypes. Men are perceived by both male and female students as being more knowledgeable and having stronger class leadership skills (which are stereotypically associated with males), despite the fact that students appear to learn as much from women as from men.",Request to authors,NA
61,AER,2017,Anne Fitzpatrick,Shopping While Female: Who Pays Higher Prices and Why?,https://www.aeaweb.org/journals/aer/search-results?ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bwithin%5D%5Bauthorlast%5D=1&JelClass%5Bvalue%5D=0&journal=1&ArticleSearch%5Bq%5D=discrimination,Gender,NA,"I estimate gender price discrimination in the Ugandan antimalarial drug market with an audit study. To determine whether results are consistent with statistical or taste-based discrimination, I contrast gender results with results by ethnicity (tribe). Vendors initially offer women prices that are $0.12 (3 percent) higher. However, women are 16 percentage points more likely to successfully bargain for a discount, resulting in no differential in price paid. Results are stronger among majority-tribe females. I find no differences in drug quality. Both women and minorities report better service quality. Offer price differentials suggest statistical discrimination; there is no differential for prices paid.",https://www.openicpsr.org/openicpsr/project/113535/version/V1/view,NA
62,AER,2019,"J. Aislinn Bohren
Alex Imas
Michael Rosenberg",The Dynamics of Discrimination: Theory and Evidence,https://www.aeaweb.org/articles?id=10.1257/aer.20171829&ArticleSearch%5Bwithin%5D%5Barticletitle%5D=1&ArticleSearch%5Bwithin%5D%5Barticleabstract%5D=1&ArticleSearch%5Bwithin%5D%5Bauthorlast%5D=1&ArticleSearch%5Bq%5D=discrimination&JelClass%5Bvalue%5D=0&journal=1&from=j,Gender,NA,"We model the dynamics of discrimination and show how its evolution can identify the underlying source. We test these theoretical predictions in a field experiment on a large online platform where users post content that is evaluated by other users on the platform. We assign posts to accounts that exogenously vary by gender and evaluation histories. With no prior evaluations, women face significant discrimination. However, following a sequence of positive evaluations, the direction of discrimination reverses: women's posts are favored over men's. Interpreting these results through the lens of our model, this dynamic reversal implies discrimination driven by biased beliefs.",https://www.openicpsr.org/openicpsr/project/116202/version/V1/view,NA
11,AJPS,2019,Kenneth Lowande  Melinda Ritchie  Erinn Lauterbach,"Descriptive and Substantive Representation in Congress: Evidence from 80,000 Congressional Inquiries",https://onlinelibrary.wiley.com/doi/10.1111/ajps.12443,General,NA,"A vast literature debates the efficacy of descriptive representation in legislatures. Though studies argue it influences how communities are represented through constituency service, they are limited since legislators' service activities are unobserved. Using Freedom of Information Act (FOIA) requests, we collected 88,000 records of communication between members of the U.S. Congress and federal agencies during the 108th–113th Congresses. These legislative interventions allow us to examine members' “follow‐through” with policy implementation. We find that women, racial/ethnic minorities, and veterans are more likely to work on behalf of constituents with whom they share identities. Including veterans offers leverage in understanding the role of political cleavages and shared experiences. Our findings suggest that shared experiences operate as a critical mechanism for representation, that a lack of political consensus is not necessary for substantive representation, and that the causal relationships identified by experimental work have observable implications in the daily work of Congress.",Request to authors,NA
13,AJPS,2019,Rikhil R. Bhavnani  Alexander Lee,Does Affirmative Action Worsen Bureaucratic Performance? Evidence from the Indian Administrative Service,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12497,General,NA,"Although many countries recruit bureaucrats using affirmative action, the effect of affirmative action recruits on bureaucratic performance has rarely been examined. Some worry that affirmative action worsens bureaucratic performance by diminishing the quality of recruits, whereas others posit that it improves performance by making recruits more representative of and responsive to the population. We test for these possibilities using unusually detailed data on the recruitment, background, and careers of India's elite bureaucracy. We examine the effect of affirmative action hires on district‐level implementation of MGNREGA, the world's largest anti‐poverty program. The data suggest that disadvantaged group members recruited via affirmative action perform no worse than others.",https://nregarep2.nic.in/netnrega/dynamic2/dynamicreport_new4.aspx,NA
23,BJPS,2017,Conrad Ziller and Marc Helbling,"Antidiscrimination Laws, Policy Knowledge and Political Support",https://www.cambridge.org/core/journals/british-journal-of-political-science/article/antidiscrimination-laws-policy-knowledge-and-political-support/1D293D3BB7F153FAA61247C194FFFBA2,General,NA,"This study investigates how antidiscrimination policy and related policy knowledge influence citizens’ support for the democratic system and its institutions. The article argues that antidiscrimination measures and knowledge about rights to equal treatment foster perceptions of government responsiveness, which increase political support among target groups and citizens who advocate egalitarianism. Utilizing a longitudinal design and more valid measures to resolve causality issues, the results of the empirical models show that increases in policy knowledge over time systematically predict higher political support, especially among individuals who hold egalitarian values. Individuals who are discriminated against express particularly high political support in contexts where antidiscrimination laws are expanded. Overall, the results amplify the role of policy knowledge as a key factor in studying policy feedback effects.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MG11FA,NA
26,BJPS,2018,Kassra A.R. Oskooii,Perceived Discrimination and Political Behavior,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/perceived-discrimination-and-political-behavior/51F4045DB0690260ECA2A8F6DC6B51D7,General,NA,"Can different experiences with discrimination produce divergent political behaviors? Does it make a difference whether individuals are discriminated against by their peers or community members in the course of everyday life as opposed to political actors or institutions tasked with upholding democratic norms of equality and fairness? Crossing disciplinary boundaries, this study proposes a new theoretical perspective regarding the relationship between discrimination and political behavior. Specifically, it distinguishes between societal (interpersonal) and political (systematic) discrimination when examining the behaviors of racial and ethnic minorities in Great Britain. The results illustrate that although experiences of political discrimination may motivate individuals to take part in mainstream politics for substantive or expressive purposes, the same conclusion cannot necessarily be drawn for those who experience societal rejection. The principal aim of this study is to further highlight the complex and multidimensional nature of discrimination, and to encourage further analyses of how different types of discrimination may impact the civic and political behaviors of minority groups.",https://www.cambridge.org/core/journals/british-journal-of-political-science/article/perceived-discrimination-and-political-behavior/51F4045DB0690260ECA2A8F6DC6B51D7#fndtn-supplementary-materials,NA
